Batch Number,Sentence ID,Source,Book
1,1,سارة (العقاد),سارة
1,2,سارة (العقاد),سارة
1,3,سارة (العقاد),سارة
1,4,سارة (العقاد),سارة
1,5,سارة (العقاد),سارة
1,6,سارة (العقاد),سارة
1,7,سارة (العقاد),سارة
1,8,سارة (العقاد),سارة
1,9,سارة (العقاد),سارة
1,10,سارة (العقاد),سارة
1,11,سارة (العقاد),سارة
1,12,سارة (العقاد),سارة
1,13,سارة (العقاد),سارة
1,14,سارة (العقاد),سارة
1,15,سارة (العقاد),سارة
1,16,سارة (العقاد),سارة
1,17,سارة (العقاد),سارة
1,18,سارة (العقاد),سارة
1,19,سارة (العقاد),سارة
1,20,سارة (العقاد),سارة
1,21,سارة (العقاد),سارة
1,22,سارة (العقاد),سارة
1,23,سارة (العقاد),سارة
1,24,سارة (العقاد),سارة
1,25,سارة (العقاد),سارة
1,26,سارة (العقاد),سارة
1,27,سارة (العقاد),سارة
1,28,سارة (العقاد),سارة
1,29,سارة (العقاد),سارة
1,30,سارة (العقاد),سارة
1,31,سارة (العقاد),سارة
1,32,سارة (العقاد),سارة
1,33,سارة (العقاد),سارة
1,34,سارة (العقاد),سارة
1,35,سارة (العقاد),سارة
1,36,سارة (العقاد),سارة
1,37,سارة (العقاد),سارة
1,38,سارة (العقاد),سارة
1,39,سارة (العقاد),سارة
1,40,سارة (العقاد),سارة
1,41,سارة (العقاد),سارة
1,42,سارة (العقاد),سارة
1,43,سارة (العقاد),سارة
1,44,سارة (العقاد),سارة
1,45,سارة (العقاد),سارة
1,46,سارة (العقاد),سارة
1,47,سارة (العقاد),سارة
1,48,سارة (العقاد),سارة
1,49,سارة (العقاد),سارة
1,50,سارة (العقاد),سارة
1,51,سارة (العقاد),سارة
1,52,سارة (العقاد),سارة
1,53,سارة (العقاد),سارة
1,54,حي بن يقظان,حي بن يقظان
1,55,حي بن يقظان,حي بن يقظان
1,56,حي بن يقظان,حي بن يقظان
1,57,حي بن يقظان,حي بن يقظان
1,58,حي بن يقظان,حي بن يقظان
1,59,حي بن يقظان,حي بن يقظان
1,60,حي بن يقظان,حي بن يقظان
1,61,حي بن يقظان,حي بن يقظان
1,62,حي بن يقظان,حي بن يقظان
1,63,حي بن يقظان,حي بن يقظان
1,64,حي بن يقظان,حي بن يقظان
1,65,حي بن يقظان,حي بن يقظان
1,66,حي بن يقظان,حي بن يقظان
1,67,حي بن يقظان,حي بن يقظان
1,68,حي بن يقظان,حي بن يقظان
1,69,حي بن يقظان,حي بن يقظان
1,70,حي بن يقظان,حي بن يقظان
1,71,حي بن يقظان,حي بن يقظان
1,72,حي بن يقظان,حي بن يقظان
1,73,حي بن يقظان,حي بن يقظان
1,74,حي بن يقظان,حي بن يقظان
1,75,حي بن يقظان,حي بن يقظان
1,76,حي بن يقظان,حي بن يقظان
1,77,حي بن يقظان,حي بن يقظان
1,78,حي بن يقظان,حي بن يقظان
1,79,حي بن يقظان,حي بن يقظان
1,80,حي بن يقظان,حي بن يقظان
1,81,حي بن يقظان,حي بن يقظان
1,82,حي بن يقظان,حي بن يقظان
1,83,حي بن يقظان,حي بن يقظان
1,84,حي بن يقظان,حي بن يقظان
1,85,حي بن يقظان,حي بن يقظان
1,86,حي بن يقظان,حي بن يقظان
1,87,حي بن يقظان,حي بن يقظان
1,88,حي بن يقظان,حي بن يقظان
1,89,حي بن يقظان,حي بن يقظان
1,90,حي بن يقظان,حي بن يقظان
1,91,حي بن يقظان,حي بن يقظان
1,92,حي بن يقظان,حي بن يقظان
1,93,حي بن يقظان,حي بن يقظان
1,94,حي بن يقظان,حي بن يقظان
1,95,حي بن يقظان,حي بن يقظان
1,96,حي بن يقظان,حي بن يقظان
1,97,حي بن يقظان,حي بن يقظان
1,98,حي بن يقظان,حي بن يقظان
1,99,حي بن يقظان,حي بن يقظان
1,100,حي بن يقظان,حي بن يقظان
2,101,حي بن يقظان,حي بن يقظان
2,102,حي بن يقظان,حي بن يقظان
2,103,حي بن يقظان,حي بن يقظان
2,104,حي بن يقظان,حي بن يقظان
2,105,حي بن يقظان,حي بن يقظان
2,106,حي بن يقظان,حي بن يقظان
2,107,حي بن يقظان,حي بن يقظان
2,108,حي بن يقظان,حي بن يقظان
2,109,حي بن يقظان,حي بن يقظان
2,110,حي بن يقظان,حي بن يقظان
2,111,حي بن يقظان,حي بن يقظان
2,112,حي بن يقظان,حي بن يقظان
2,113,حي بن يقظان,حي بن يقظان
2,114,حي بن يقظان,حي بن يقظان
2,115,حي بن يقظان,حي بن يقظان
2,116,حي بن يقظان,حي بن يقظان
2,117,حي بن يقظان,حي بن يقظان
2,118,حي بن يقظان,حي بن يقظان
2,119,1001,night 3
2,120,1001,night 3
2,121,1001,night 3
2,122,1001,night 3
2,123,1001,night 3
2,124,1001,night 3
2,125,1001,night 3
2,126,1001,night 3
2,127,1001,night 3
2,128,1001,night 3
2,129,1001,night 3
2,130,1001,night 3
2,131,1001,night 3
2,132,1001,night 3
