sentence_index,word_index,word,gold_lex,gold_pos
0,0,#,#,punc
0,1,ثقافة,ثَقافَة,noun
1,0,فيلم,فِيلْم,noun
1,1,جاذبية,جاذِبِيَّة,noun
1,2,يتصدر,تَصَدَّر,verb
1,3,ترشيحات,تَرْشِيح,noun
1,4,جوائز,جائِزَة,noun
1,5,الأكاديمية,أَكادِيمِيّ,adj
1,6,البريطانية,برِيطانِيّ,adj
1,7,لفنون,فَنّ,noun
1,8,الفيلم,فِيلْم,noun
1,9,والتلفزيون,تِلْفِزيُون,noun
2,0,أعلنت,أَعْلَن,verb
2,1,الأكاديمية,أَكادِيمِيَّة,noun
2,2,البريطانية,برِيطانِيّ,adj
2,3,لفنون,فَنّ,noun
2,4,الفيلم,فِيلْم,noun
2,5,والتلفزيون,تِلْفِزيُون,noun
2,6,عن,عَن,prep
2,7,ترشيحاتها,تَرْشِيح,noun
2,8,الرسمية,رَسْمِيّ,adj
2,9,لحفلها,حَفْل,noun
2,10,السابع,سابِع,adj_num
2,11,والستين,سِتُّون,noun_num
2,12,وتصدر,تَصَدَّر,verb
2,13,هذه,هٰذا,pron_dem
2,14,الترشيحات,تَرْشِيح,noun
2,15,فيلم,فِيلْم,noun
2,16,جاذبية,جاذِبِيَّة,noun
2,17,إذ,إِذْ,conj_sub
2,18,حصل,حَصَل,verb
2,19,على,عَلَى,prep
2,20,11,11,digit
2,21,ترشيحا,تَرْشِيح,noun
2,22,وجاء,جاء,verb
2,23,بعده,بَعْد,noun
2,24,فيلم,فِيلْم,noun
2,25,12,12,digit
2,26,سنة,سَنَة,noun
2,27,عبدا,عَبْد,noun
2,28,وفيلم,فِيلْم,noun
2,29,الكفاح,كِفاح,noun
2,30,الأمريكي,أَمْرِيكِيّ,adj
2,31,ب,بِ,prep
2,32,10,10,digit
2,33,ترشيحات,تَرْشِيح,noun
2,34,لكل,كُلّ,noun_quant
2,35,منهما,مِن,prep
2,36,.,.,punc
2,37,وسيقام,أَقام,verb
2,38,حفل,حَفْل,noun
2,39,توزيع,تَوْزِيع,noun
2,40,الجوائز,جائِزَة,noun
2,41,على,عَلَى,prep
2,42,الفائزين,فائِز,noun
2,43,في,فِي,prep
2,44,16,16,digit
2,45,فبراير,فِبْرايِر,noun_prop
2,46,2014,2014,digit
2,47,في,فِي,prep
2,48,دار,دار,noun
2,49,الأوبرا,أُوبِرا,noun
2,50,الملكية,مَلَكِيّ,adj
2,51,في,فِي,prep
2,52,لندن,لَنْدَن,noun_prop
