sentence_index,word_index,word,gold_lex,gold_pos,gold_stemgloss
0,0,وسائل,وَسِيلَة,noun,means;devices;instruments
0,1,التواصل,تَواصُل,noun,continuity;continuation
0,2,الاجتماعي,ٱِجْتِماعِيّ,adj,social
0,3,لها,لِ,prep,"to/for_+_it/them/her_(it/she_has,_they_have)"
0,4,أضرار,ضَرَر,noun,damages;injuries;harm
0,5,وفوائد,فائِدَة,noun,benefits;uses
0,6,كثيرة,كَثِير,adj,many;much;numerous
0,7,.,.,punc,.
0,8,ولكن,لٰكِنْ,conj,"But,_however,_yet,_still,_nevertheless,_on_the_other_hand"
0,9,بان,بان,verb,appear;be_evident
0,10,في,فِي,prep,in
0,11,الآونة,أَوان,noun,times;moments
0,12,الأخيرة,أَخِير,adj,last;latest;recent;latter
0,13,أن,أَنَّ,conj_sub,that
0,14,مضارها,مَضَرَّة,noun,harm;damage;adversities
0,15,أكبر,أَكْبَر,adj_comp,larger/largest;greater/greatest
0,16,بكثير,كَثِير,adj,many;much;numerous
0,17,من,مِن,prep,from
0,18,منافعها,مَنْفَعَة,noun,facilities;benefits
0,19,.,.,punc,.
0,20,فإذا,إِذا,conj_sub,"If,_whether,_when,_whenever"
0,21,نشأ,نَشَأ,verb,rise;grow
0,22,الطفل,طِفْل,noun,child;boy
0,23,وبيده,يَد,noun,hand
0,24,هاتف,هاتِف,noun,shouting;calling
0,25,أو,أَوْ,conj,"Or,_if_not,_unless,_except_if,_except_when"
0,26,جهاز,جِهاز,noun,machine;apparatus;device;appliance;system;equipment
0,27,إلكتروني,إِلِكْترُونِيّ,adj,electronic
0,28,ستلاحظ,لاحَظ,verb,be_noticed;be_observed
0,29,عدم,عَدَم,noun,absence_of;lack_of;not;non-
0,30,قدرته,قُدْرَة,noun,capacity;ability;potential;power
0,31,على,عَلَى,prep,on;above
0,32,الاستجابة,ٱِسْتِجابَة,noun,compliance;replying
0,33,بسرعة,سُرْعَة,noun,speed;velocity;promptness
0,34,.,.,punc,.
0,35,وأيضا,أَيْضاً,adv,"also,_too,_as_well_(as),_along_with,_in_addition_(to)"
0,36,سوف,سَوْفَ,part_fut,will;shall
0,37,تلاحظ,لاحَظ,verb,be_noticed;be_observed
0,38,عدم,عَدَم,noun,absence_of;lack_of;not;non-
0,39,قدرته,قُدْرَة,noun,capacity;ability;potential;power
0,40,على,عَلَى,prep,on;above
0,41,التركيز,تَرْكِيز,noun,emphasis;focus;concentration;installation
0,42,.,.,punc,.
0,43,ومضار,مَضَرَّة,noun,harm;damage;adversities
0,44,التواصل,تَواصُل,noun,continuity;continuation
0,45,الاجتماعي,ٱِجْتِماعِيّ,adj,social
0,46,لم,لَمْ,part_neg,did_not
0,47,تكتف,ٱِكْتَفَى,verb,be_content_with;be_satisfied_with
0,48,بالأطفال,طِفْل,noun,children;infants
0,49,والمراهقين,مُراهِق,noun,adolescent
0,50,فقط,فَقَط,adv,only
0,51,بل,بَلْ,conj,"Rather,_even,_but,_yet,_however"
0,52,بجميع,جَمِيع,noun_quant,"all,_entire,_every,_whole"
0,53,الفئات,فِئَة,noun,faction;party
0,54,العمرية,عُمْرِيّ,adj,age-related;age-based;age-group
0,55,.,.,punc,.
0,56,فكم,كَمْ,pron_interrog,how_many/much
0,57,من,مِن,prep,from
0,58,شخص,شَخْص,noun,individual;person
0,59,قد,قَدْ,part_verb,"may,_might,_perhaps,_maybe,_possibly,_probably"
0,60,رحل,رَحَل,verb,depart;move_away
0,61,من,مِن,prep,from
0,62,هذه,هٰذا,pron_dem,this/these
0,63,الدنيا,دُنْيا,noun,world
0,64,بسبب,سَبَب,noun,because_of;due_to
0,65,حادث,حادِث,noun,incident;event
0,66,سيارة,سَيّارَة,noun,car;automobile;vehicle
0,67,",",",",punc,","
0,68,وسببه,سَبَب,noun,because_of;due_to
0,69,الهاتف,هاتِف,noun,shouting;calling
0,70,المتحرك,مُتَحَرِّك,adj,moving;mobile
0,71,ليتفقد,تَفَقَّد,verb,investigate;examine;review;inspect
0,72,الشخص,شَخْص,noun,individual;person
0,73,صفحة,صَفْحَة,noun,page;leaf
0,74,على,عَلَى,prep,on;above
0,75,مواقع,مَوْقِع,noun,positions;locations;sites
0,76,التواصل,تَواصُل,noun,continuity;continuation
0,77,الاجتماعي,ٱِجْتِماعِيّ,adj,social
0,78,.,.,punc,.
0,79,أيضا,أَيْضاً,adv,"also,_too,_as_well_(as),_along_with,_in_addition_(to)"
0,80,مقارنة,مُقارَنَة,noun,in_comparison_(with)
0,81,بمجالس,مَجْلِس,noun,councils;boards
0,82,الشباب,شَبّ,noun,youth;youths
0,83,سابقا,سابِق,adj,former;previous;preceding
0,84,قبل,قَبْل,noun,before
0,85,ظهور,ظُهُور,noun,appearance;emergence
0,86,مواقع,مَوْقِع,noun,positions;locations;sites
0,87,التواصل,تَواصُل,noun,continuity;continuation
0,88,",",",",punc,","
0,89,لرأيت,رَأَى,verb,see;think;believe
0,90,شبابا,شَبّ,noun,youth;youths
0,91,يضحكون,ضَحِك,verb,be_laughd_at
0,92,مع,مَع,noun,something_with
0,93,بعضهم,بَعْض,noun_quant,"some,_a_few,_little,_part"
0,94,أو,أَوْ,conj,"Or,_if_not,_unless,_except_if,_except_when"
0,95,لربما,رُبّ,PART+ADP+PART,thickened_juice;pulp
0,96,يلعبون,لَعِب,verb,play
0,97,لعبة,لُعْبَة,noun,game;toy
0,98,ما,ما,part,[no_gloss]
0,99,",",",",punc,","
0,100,أما,أَمّا,part_focus,"As_to,_as_for,_as_far_as_he_(she,_it,_..etc)_is_concerned,_but,_however,_yet,_on_the_other_hand"
0,101,الآن,آن,noun,time;moment
0,102,فترى,رَأَى,verb,be_seen;be_thought;be_believed
0,103,شبابا,شَبّ,noun,youth;youths
0,104,جالسين,جالِس,adj,sitting
0,105,جنبهم,جَنْب,noun,next_to
0,106,الجنب,جَنْب,noun,next_to
0,107,ولا,لا,part_neg,no;not;non-
0,108,يتكلمون,تَكَلَّم,verb,speak;talk;discuss
0,109,مع,مَع,noun,something_with
0,110,بعضهم,بَعْض,noun_quant,"some,_a_few,_little,_part"
0,111,البعض,بَعْض,noun_quant,"some,_a_few,_little,_part"
0,112,وتراهم,رَأَى,verb,see;think;believe
0,113,جميعا,جَمِيع,noun_quant,"all,_entire,_every,_whole"
0,114,على,عَلَى,prep,on;above
0,115,مواقع,مَوْقِع,noun,positions;locations;sites
0,116,التواصل,تَواصُل,noun,continuity;continuation
0,117,الاجتماعي,ٱِجْتِماعِيّ,adj,social
0,118,.,.,punc,.
0,119,التواصل,تَواصُل,noun,continuity;continuation
0,120,الاجتماعي,ٱِجْتِماعِيّ,adj,social
0,121,أثر,أَثَّر,verb,affect;influence
0,122,كثيرا,كَثِير,adj,much;a_lot;very
0,123,على,عَلَى,prep,on;above
0,124,عاداتنا,عادَة,noun,customs;practices;habits
0,125,كبشر,بَشَر,noun,mankind
0,126,وكمجتمع,مُجْتَمَع,noun,society
0,127,.,.,punc,.
0,128,وترى,رَأَى,verb,be_seen;be_thought;be_believed
0,129,أيضا,أَيْضاً,adv,"also,_too,_as_well_(as),_along_with,_in_addition_(to)"
0,130,امرأة,ٱِمْرَأَة,noun,woman
0,131,إما,إِمّا,conj,"Either,_whether,_if"
0,132,مشغولة,مَشْغُول,adj,busy;occupied
0,133,عن,عَن,prep,"(away)_from,_off,_about,_on,_over"
0,134,أبنائها,ٱِبْن,noun,sons;children
0,135,بالتواصل,تَواصُل,noun,continuity;continuation
0,136,الاجتماعي,ٱِجْتِماعِيّ,adj,social
