sentence_index,word_index,word,gold_lex,gold_pos
0,0,بسم,ٱِسْم,noun
0,1,الله,اللّٰه,noun_prop
0,2,الرحمن,رَحْمٰن,adj
0,3,الرحيم,رَحِيم,adj
1,0,الحمد,حَمْد,noun
1,1,لله,اللّٰه,noun_prop
1,2,رب,رَبّ,noun
1,3,العلمين,عَلَم,noun
2,0,الرحمن,رَحْمٰن,adj
2,1,الرحيم,رَحِيم,adj
3,0,ملك,مَلِك,noun
3,1,يوم,يَوْم,noun
3,2,الدين,دِين,noun
4,0,إياك,إِيّا,part
4,1,نعبد,عَبَد,verb
4,2,وإياك,إِيّا,part
4,3,نستعين,ٱِسْتَعان,verb
5,0,اهدنا,هَدَى,verb
5,1,الصرط,صِراط,noun
5,2,المستقيم,مُسْتَقِيم,noun
6,0,صرط,صِراط,noun
6,1,الذين,الَّذِي,pron_rel
6,2,أنعمت,أَنْعَم,verb
6,3,عليهم,عَلَى,prep
6,4,غير,غَيْر,noun
6,5,المغضوب,مَغْضُوب,noun
6,6,عليهم,عَلَى,prep
6,7,ولا,لا,part_neg
6,8,الضالين,ضالّ,noun
7,0,الم,,abbrev
8,0,ذلك,ذٰلِكَ,pron_dem
8,1,الكتب,كِتاب,noun
8,2,لا,لا,part_neg
8,3,ريب,رَيْب,noun
8,4,فيه,فِي,prep
8,5,هدى,هُدَى,noun
8,6,للمتقين,مُتَّقِي,noun
9,0,الذين,الَّذِي,pron_rel
9,1,يؤمنون,أَمَّن,verb
9,2,بالغيب,غَيْب,noun
9,3,ويقيمون,أَقام,verb
9,4,الصلوة,صَلاة,noun
9,5,ومما,مِن,prep
9,6,رزقنهم,رَزَق,verb
9,7,ينفقون,أَنْفَق,verb
10,0,والذين,الَّذِي,pron_rel
10,1,يؤمنون,أَمَّن,verb
10,2,بما,ما,pron_rel
10,3,أنزل,أَنْزَل,verb
10,4,إليك,إِلَى,prep
10,5,وما,ما,pron_rel
10,6,أنزل,أَنْزَل,verb
10,7,من,مِن,prep
10,8,قبلك,قَبْل,noun
10,9,وبالآخرة,آخَر,adj
10,10,هم,هُم,pron
10,11,يوقنون,يُوقِنُ,verb
11,0,أولئك,أُولَئِك,pron_dem
11,1,على,عَلَى,prep
11,2,هدى,هُدَى,noun
11,3,من,مِن,prep
11,4,ربهم,رَبّ,noun
11,5,وأولئك,أُولَئِك,pron_dem
11,6,هم,هُم,pron
11,7,المفلحون,مُفْلِح,adj
12,0,إن,إِنَّ,verb_pseudo
12,1,الذين,الَّذِي,pron_rel
12,2,كفروا,كَفَر,verb
12,3,سواء,سَواء,noun
12,4,عليهم,عَلَى,prep
12,5,آنذرتهم,أَنْذَر,verb
12,6,أم,أَمْ,conj
12,7,لم,لَمْ,part_neg
12,8,تنذرهم,أَنْذَر,verb
12,9,لا,لا,part_neg
12,10,يؤمنون,أَمَّن,verb
13,0,ختم,خَتَم,verb
13,1,الله,اللّٰه,noun_prop
13,2,على,عَلَى,prep
13,3,قلوبهم,قَلْب,noun
13,4,وعلى,عَلَى,prep
13,5,سمعهم,سَمْع,noun
13,6,وعلى,عَلَى,prep
13,7,أبصرهم,بَصَّر,verb
13,8,غشوة,غَشْوَة,noun
13,9,ولهم,لِ,prep
13,10,عذاب,عَذاب,noun
13,11,عظيم,عَظِيم,adj
14,0,ومن,مِن,prep
14,1,الناس,ناس,noun
14,2,من,مَنْ,pron_rel
14,3,يقول,قال,verb
14,4,آمنا,أَمَّن,verb
14,5,بالله,اللّٰه,noun_prop
14,6,وباليوم,يَوْم,noun
14,7,الآخر,آخَر,adj
14,8,وما,ما,part_neg
14,9,هم,هُم,pron
14,10,بمؤمنين,مُؤْمِن,noun
15,0,يخدعون,خَدَع,verb
15,1,الله,اللّٰه,noun_prop
15,2,والذين,الَّذِي,pron_rel
15,3,آمنوا,أَمَّن,verb
15,4,وما,ما,part_neg
15,5,يخدعون,خَدَع,verb
15,6,إلا,إِلّا,part_restrict
15,7,أنفسهم,نَفْس,noun
15,8,وما,ما,part_neg
15,9,يشعرون,شَعَر,verb
16,0,فى,فِي,prep
16,1,قلوبهم,قَلْب,noun
16,2,مرض,مَرَض,noun
16,3,فزادهم,زاد,verb
16,4,الله,اللّٰه,noun_prop
16,5,مرضا,مَرَض,noun
16,6,ولهم,لِ,prep
16,7,عذاب,عَذاب,noun
16,8,أليم,أَلِيم,adj
16,9,بما,ما,pron_rel
16,10,كانوا,كان,verb
16,11,يكذبون,كَذَب,verb
17,0,وإذا,إِذا,conj_sub
17,1,قيل,قال,verb
17,2,لهم,لِ,prep
17,3,لا,لا,part_neg
17,4,تفسدوا,أَفْسَد,verb
17,5,فى,فِي,prep
17,6,الأرض,أَرْض,noun
17,7,قالوا,قال,verb
17,8,إنما,إِنَّ,verb_pseudo
17,9,نحن,نَحْنُ,pron
17,10,مصلحون,مُصْلِح,noun
18,0,ألا,أَلا,part
18,1,إنهم,إِنَّ,verb_pseudo
18,2,هم,هُم,pron
18,3,المفسدون,مُفْسِد,noun
18,4,ولكن,لٰكِنْ,conj
18,5,لا,لا,part_neg
18,6,يشعرون,شَعَر,verb
19,0,وإذا,إِذا,conj_sub
19,1,قيل,قال,verb
19,2,لهم,لِ,prep
19,3,آمنوا,أَمَّن,verb
19,4,كما,ما,conj_sub
19,5,آمن,أَمَّن,verb
19,6,الناس,ناس,noun
19,7,قالوا,قال,verb
19,8,أنؤمن,ءَامَنَ,verb
19,9,كما,ما,conj_sub
19,10,آمن,أَمَّن,verb
19,11,السفهاء,سَفِيه,adj
19,12,ألا,أَلا,part
19,13,إنهم,إِنَّ,verb_pseudo
19,14,هم,هُم,pron
19,15,السفهاء,سَفِيه,adj
19,16,ولكن,لٰكِنْ,conj
19,17,لا,لا,part_neg
19,18,يعلمون,عَلِم,verb
20,0,وإذا,إِذا,conj_sub
20,1,لقوا,لَقِي,verb
20,2,الذين,الَّذِي,pron_rel
20,3,آمنوا,أَمَّن,verb
20,4,قالوا,قال,verb
20,5,آمنا,أَمَّن,verb
20,6,وإذا,إِذا,conj_sub
20,7,خلوا,خَلا,verb
20,8,إلى,إِلَى,prep
20,9,شيطينهم,شَيْطَن,noun
20,10,قالوا,قال,verb
20,11,إنا,إِنّ,verb_pseudo
20,12,معكم,مَع,noun
20,13,إنما,إِنَّ,verb_pseudo
20,14,نحن,نَحْنُ,pron
20,15,مستهزءون,مُسْتَهْزِءُون,noun
21,0,الله,اللّٰه,noun_prop
21,1,يستهزئ,ٱِسْتَهْزَأ,verb
21,2,بهم,بِ,prep
21,3,ويمدهم,مَدّ,verb
21,4,فى,فِي,prep
21,5,طغينهم,طُغْيَن,noun
21,6,يعمهون,عَمِه,verb
22,0,أولئك,أُولَئِك,pron_dem
22,1,الذين,الَّذِي,pron_rel
22,2,اشتروا,ٱِشْتَرَى,verb
22,3,الضللة,ضَلَلَة,noun
22,4,بالهدى,هُدَى,noun
22,5,فما,ما,part_neg
22,6,ربحت,رَبِح,verb
22,7,تجرتهم,تِجَرَة,noun
22,8,وما,ما,part_neg
22,9,كانوا,كان,verb
22,10,مهتدين,مُهْتَدِي,noun
23,0,مثلهم,مَثَل,noun
23,1,كمثل,مَثَل,noun
23,2,الذى,الَّذِي,pron_rel
23,3,استوقد,ٱِسْتَوْقَد,verb
23,4,نارا,نار,noun
23,5,فلما,فِيلْم,noun
23,6,أضاءت,أَضاء,verb
23,7,ما,ما,pron_rel
23,8,حوله,حَوْل,noun
23,9,ذهب,ذَهَب,verb
23,10,الله,اللّٰه,noun_prop
23,11,بنورهم,نُور,noun
23,12,وتركهم,تَرَك,verb
23,13,فى,فِي,prep
23,14,ظلمت,ظُلُمَت,noun
23,15,لا,لا,part_neg
23,16,يبصرون,أَبْصَر,verb
24,0,صم,أَصَمّ,adj
24,1,بكم,أَبْكَم,noun
24,2,عمى,عَمّ,noun
24,3,فهم,هُم,pron
24,4,لا,لا,part_neg
24,5,يرجعون,رَجَع,verb
25,0,أو,أَوْ,conj
25,1,كصيب,صَيِّب,noun
25,2,من,مِن,prep
25,3,السماء,سَماء,noun
25,4,فيه,فِي,prep
25,5,ظلمت,ظُلُمَت,noun
25,6,ورعد,رَعْد,noun
25,7,وبرق,بَرْق,noun
25,8,يجعلون,جَعَل,verb
